Data Source,World Bank
Last Updated Date,2025-01-01
Indicator Name,Mobile cellular subscriptions (per 100 people)
Country Name,Country Code,1960,1965,1970,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Malaysia,MYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069523625,0.108594076,0.165220178,0.231602049,0.494489541,0.721522185,1.082615433,1.784885174,2.918621003,4.991168447,7.34842792,9.412128789,10.08686533,13.36691902,22.2996735954346,31.3900838278883,37.5604548860269,45.0736604261284,57.8498313244464,75.6500475633466,73.6762398568335,86.4755300769983,100.518464614095,107.179512670287,118.156632715164,125.715832147402,139.314753874976,142.522112800428,146.3656485505,141.210531313909,136.725167298764,130.853522804244,128.873150399987,133.372921941941,129.017911652905,137.684938559871,138.208441079076,142.7320920639,139.664651283564
