Data Source,World Bank
Last Updated Date,2025-01-01
Indicator Name,Fixed broadband subscriptions (per 100 people)
Country Name,Country Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Malaysia,MYS,0.0170020765486193,0.0800830553639777,0.447341087591283,0.999731873891089,1.86986635854964,2.84276851737206,3.83430285414437,4.82153483966066,5.52395471352698,7.32068815724969,8.59576382844835,9.84700347717991,9.73942530166021,9.97193881432051,9.80955980953099,8.55245970508987,8.30705146836206,8.19179819298533,8.86497357882019,9.91101742902637,10.8921782282506,12.1753566089982,13.0287000355119,13.5464432669708
