Data Source,World Bank
Last Updated Date,2025-01-01
Indicator Name,Fixed broadband subscriptions
Country Name,Country Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Malaysia,MYS,4000,19302,110402,252500,483100,751000,1035200,1329300,1553600,2097800,2506700,2920900,2938800,3061000,3063800,2718800,2687800,2696000,2964500,3358800,3734100,4224300,4576500,4816800
