year,broadband_type,category,scope,label,value,unit
2023,FBB,SQG_satisfaction,Web browsing,,4.03,score
2023,FBB,SQG_gap,Web browsing,,-0.47,score
2023,FBB,SQG_importance,Online gaming,,2.65,score
2023,FBB,SQG_satisfaction,Online gaming,,3.68,score
2023,FBB,SQG_gap,Online gaming,,1.03,score
2023,FBB,SQG_importance,Online voice calls,,3.99,score
2023,FBB,SQG_satisfaction,Online voice calls,,3.8,score
2023,FBB,SQG_gap,Online voice calls,,-0.19,score
2023,FBB,SQG_importance,Online video calls,,3.82,score
2023,FBB,SQG_satisfaction,Online video calls,,3.8,score
2023,FBB,SQG_gap,Online video calls,,-0.02,score
2024,FBB,SQG_importance,Video streaming,,3.96,score
2024,FBB,SQG_satisfaction,Video streaming,,3.99,score
2024,FBB,SQG_gap,Video streaming,,0.03,score
2024,FBB,SQG_importance,Web browsing,,4.38,score
2024,FBB,SQG_satisfaction,Web browsing,,4.06,score
2024,FBB,SQG_gap,Web browsing,,-0.32,score
2024,FBB,SQG_importance,Online gaming,,3.46,score
2024,FBB,SQG_satisfaction,Online gaming,,3.89,score
2024,FBB,SQG_gap,Online gaming,,0.43,score
2024,FBB,SQG_importance,Online voice calls,,4.2,score
2024,FBB,SQG_satisfaction,Online voice calls,,4.02,score
2024,FBB,SQG_gap,Online voice calls,,-0.18,score
2024,FBB,SQG_importance,Online video calls,,4.1,score
2024,FBB,SQG_satisfaction,Online video calls,,3.99,score
2024,FBB,SQG_gap,Online video calls,,-0.11,score
2023,MBB,SQG_importance,Video streaming,,3.73,score
2023,MBB,SQG_satisfaction,Video streaming,,3.68,score
2023,MBB,SQG_gap,Video streaming,,-0.04,score
2023,MBB,SQG_importance,Web browsing,,4.39,score
2023,MBB,SQG_satisfaction,Web browsing,,3.84,score
2023,MBB,SQG_gap,Web browsing,,-0.55,score
2023,MBB,SQG_importance,Online gaming,,2.61,score
2023,MBB,SQG_satisfaction,Online gaming,,3.54,score
2023,MBB,SQG_gap,Online gaming,,0.93,score
2023,MBB,SQG_importance,Online voice calls,,4.05,score
2023,MBB,SQG_satisfaction,Online voice calls,,3.72,score
2023,MBB,SQG_gap,Online voice calls,,-0.33,score
2023,MBB,SQG_importance,Online video calls,,3.88,score
2023,MBB,SQG_satisfaction,Online video calls,,3.69,score
2023,MBB,SQG_gap,Online video calls,,-0.19,score
2024,MBB,SQG_importance,Video streaming,,3.88,score
2024,MBB,SQG_satisfaction,Video streaming,,3.92,score
2024,MBB,SQG_gap,Video streaming,,0.04,score
2024,MBB,SQG_importance,Web browsing,,4.24,score
2024,MBB,SQG_satisfaction,Web browsing,,3.94,score
2024,MBB,SQG_gap,Web browsing,,-0.31,score
2024,MBB,SQG_importance,Online gaming,,3.47,score
2024,MBB,SQG_satisfaction,Online gaming,,3.8,score
2024,MBB,SQG_gap,Online gaming,,0.33,score
2024,MBB,SQG_importance,Online voice calls,,4.31,score
2024,MBB,SQG_satisfaction,Online voice calls,,3.97,score
2024,MBB,SQG_gap,Online voice calls,,-0.34,score
2024,MBB,SQG_importance,Online video calls,,4.09,score
2024,MBB,SQG_satisfaction,Online video calls,,3.9,score
2024,MBB,SQG_gap,Online video calls,,-0.19,score
2023,FBB,IPA_performance,Web browsing,,4.03,score
2023,FBB,IPA_importance,Web browsing,,4.5,score
2023,FBB,IPA_quadrant,Web browsing,Keep up good work,,label
2023,FBB,IPA_performance,Video streaming,,3.93,score
2023,FBB,IPA_importance,Video streaming,,4.0,score
2023,FBB,IPA_quadrant,Video streaming,Keep up good work,,label
2023,FBB,IPA_performance,Online voice calls,,3.8,score
2023,FBB,IPA_importance,Online voice calls,,4.0,score
2023,FBB,IPA_quadrant,Online voice calls,Concentrate here,,label
2023,FBB,IPA_performance,Online video calls,,3.8,score
2023,FBB,IPA_importance,Online video calls,,3.82,score
2023,FBB,IPA_quadrant,Online video calls,Concentrate here,,label
2023,FBB,IPA_performance,Online gaming,,3.68,score
2023,FBB,IPA_importance,Online gaming,,2.65,score
2023,FBB,IPA_quadrant,Online gaming,Low priority,,label
2024,FBB,IPA_performance,Web browsing,,4.2,score
2024,FBB,IPA_importance,Web browsing,,4.5,score
2024,FBB,IPA_quadrant,Web browsing,Keep up good work,,label
2024,FBB,IPA_performance,Online voice calls,,4.1,score
2024,FBB,IPA_importance,Online voice calls,,4.1,score
2024,FBB,IPA_quadrant,Online voice calls,Keep up good work,,label
2024,FBB,IPA_performance,Online video calls,,4.0,score
2024,FBB,IPA_importance,Online video calls,,4.05,score
2024,FBB,IPA_quadrant,Online video calls,Keep up good work,,label
2024,FBB,IPA_performance,Video streaming,,4.0,score
2024,FBB,IPA_importance,Video streaming,,4.0,score
2024,FBB,IPA_quadrant,Video streaming,Keep up good work,,label
2024,FBB,IPA_performance,Online gaming,,3.8,score
2024,FBB,IPA_importance,Online gaming,,3.55,score
2024,FBB,IPA_quadrant,Online gaming,Low priority,,label
2023,MBB,IPA_performance,Web browsing,,3.84,score
2023,MBB,IPA_importance,Web browsing,,4.39,score
2023,MBB,IPA_quadrant,Web browsing,Keep up good work,,label
2023,MBB,IPA_performance,Online voice calls,,3.72,score
2023,MBB,IPA_importance,Online voice calls,,4.05,score
2023,MBB,IPA_quadrant,Online voice calls,Keep up good work,,label
2023,MBB,IPA_performance,Video streaming,,3.68,score
2023,MBB,IPA_importance,Video streaming,,3.73,score
2023,MBB,IPA_quadrant,Video streaming,Concentrate here,,label
2023,MBB,IPA_performance,Online video calls,,3.69,score
2023,MBB,IPA_importance,Online video calls,,3.88,score
2023,MBB,IPA_quadrant,Online video calls,Concentrate here,,label
2023,MBB,IPA_performance,Online gaming,,3.54,score
2023,MBB,IPA_importance,Online gaming,,2.61,score
2023,MBB,IPA_quadrant,Online gaming,Low priority,,label
2024,MBB,IPA_performance,Online voice calls,,4.4,score
2024,MBB,IPA_importance,Online voice calls,,4.3,score
2024,MBB,IPA_quadrant,Online voice calls,Keep up good work,,label
2024,MBB,IPA_performance,Web browsing,,4.15,score
2024,MBB,IPA_importance,Web browsing,,4.2,score
2024,MBB,IPA_quadrant,Web browsing,Keep up good work,,label
2024,MBB,IPA_performance,Online video calls,,3.92,score
2024,MBB,IPA_importance,Online video calls,,4.1,score
2024,MBB,IPA_quadrant,Online video calls,Concentrate here,,label
2024,MBB,IPA_performance,Video streaming,,3.9,score
2024,MBB,IPA_importance,Video streaming,,3.8,score
2024,MBB,IPA_quadrant,Video streaming,Possible overkill,,label
2024,MBB,IPA_performance,Online gaming,,3.75,score
2024,MBB,IPA_importance,Online gaming,,3.55,score
2024,MBB,IPA_quadrant,Online gaming,Low priority,,label
2023,FBB,Platform_share,Video streaming,YouTube,48.4,%
2024,FBB,Platform_share,Video streaming,YouTube,48.5,%
2023,FBB,Platform_share,Video streaming,Netflix,26.0,%
2024,FBB,Platform_share,Video streaming,Netflix,26.9,%
2023,FBB,Platform_share,Video streaming,TikTok,8.9,%
2024,FBB,Platform_share,Video streaming,TikTok,9.8,%
2023,FBB,Platform_share,Video streaming,Facebook,8.2,%
2024,FBB,Platform_share,Video streaming,Facebook,7.0,%
2023,FBB,Platform_share,Video streaming,Instagram,2.7,%
2024,FBB,Platform_share,Video streaming,Instagram,3.0,%
2023,FBB,Platform_share,Video streaming,Others,5.8,%
2024,FBB,Platform_share,Video streaming,Others,4.9,%
2023,MBB,Platform_share,Video streaming,YouTube,40.6,%
2024,MBB,Platform_share,Video streaming,YouTube,38.3,%
2023,MBB,Platform_share,Video streaming,TikTok,24.4,%
2024,MBB,Platform_share,Video streaming,TikTok,30.8,%
2023,MBB,Platform_share,Video streaming,Facebook,14.1,%
2024,MBB,Platform_share,Video streaming,Facebook,13.7,%
2023,MBB,Platform_share,Video streaming,Netflix,11.8,%
2024,MBB,Platform_share,Video streaming,Netflix,11.3,%
2023,MBB,Platform_share,Video streaming,Instagram,4.8,%
2024,MBB,Platform_share,Video streaming,Instagram,3.2,%
2023,MBB,Platform_share,Video streaming,Others,4.3,%
2024,MBB,Platform_share,Video streaming,Others,2.8,%
2023,FBB,Platform_share,Web browsing,Google Chrome,71.7,%
2024,FBB,Platform_share,Web browsing,Google Chrome,78.0,%
2023,FBB,Platform_share,Web browsing,Safari,13.4,%
2024,FBB,Platform_share,Web browsing,Safari,12.0,%
2023,FBB,Platform_share,Web browsing,Microsoft Edge,6.2,%
2024,FBB,Platform_share,Web browsing,Microsoft Edge,4.2,%
2023,FBB,Platform_share,Web browsing,Mozilla Firefox,5.0,%
2024,FBB,Platform_share,Web browsing,Mozilla Firefox,3.1,%
2023,FBB,Platform_share,Web browsing,Browser Others,3.7,%
2024,FBB,Platform_share,Web browsing,Browser Others,2.6,%
2023,FBB,Platform_share,Web browsing,Shopee,29.2,%
2024,FBB,Platform_share,Web browsing,Shopee,49.2,%
2023,FBB,Platform_share,Web browsing,YouTube,12.8,%
2023,FBB,Platform_share,Web browsing,Spotify,7.9,%
2024,FBB,Platform_share,Web browsing,Spotify,8.8,%
2023,FBB,Platform_share,Web browsing,Netflix,6.7,%
2023,FBB,Platform_share,Web browsing,Facebook,6.7,%
2023,FBB,Platform_share,Web browsing,WhatsApp,6.1,%
2023,FBB,Platform_share,Web browsing,Grab,5.9,%
2024,FBB,Platform_share,Web browsing,Grab,12.9,%
2024,FBB,Platform_share,Web browsing,TikTok,4.5,%
2024,FBB,Platform_share,Web browsing,Lazada,4.5,%
2023,FBB,Platform_share,Web browsing,App Others,24.7,%
2024,FBB,Platform_share,Web browsing,App Others,20.1,%
2023,FBB,Platform_share,Web browsing,Via browser,57.0,%
2024,FBB,Platform_share,Web browsing,Via browser,56.7,%
2023,FBB,Platform_share,Web browsing,Via application,43.0,%
2024,FBB,Platform_share,Web browsing,Via application,43.3,%
2023,MBB,Platform_share,Web browsing,Google Chrome,75.5,%
2024,MBB,Platform_share,Web browsing,Google Chrome,78.4,%
2023,MBB,Platform_share,Web browsing,Safari,16.3,%
2024,MBB,Platform_share,Web browsing,Safari,17.4,%
2023,MBB,Platform_share,Web browsing,Mozilla Firefox,2.5,%
2024,MBB,Platform_share,Web browsing,Mozilla Firefox,1.3,%
2023,MBB,Platform_share,Web browsing,Microsoft Edge,2.2,%
2024,MBB,Platform_share,Web browsing,Microsoft Edge,1.3,%
2023,MBB,Platform_share,Web browsing,Browser Others,3.5,%
2024,MBB,Platform_share,Web browsing,Browser Others,1.5,%
2023,MBB,Platform_share,Web browsing,Shopee,36.8,%
2024,MBB,Platform_share,Web browsing,Shopee,54.6,%
2023,MBB,Platform_share,Web browsing,Spotify,5.8,%
2024,MBB,Platform_share,Web browsing,Spotify,7.3,%
2023,MBB,Platform_share,Web browsing,Grab,5.4,%
2024,MBB,Platform_share,Web browsing,Grab,10.2,%
2023,MBB,Platform_share,Web browsing,Lazada,4.2,%
2024,MBB,Platform_share,Web browsing,Lazada,3.2,%
2023,MBB,Platform_share,Web browsing,Foodpanda,4.0,%
2024,MBB,Platform_share,Web browsing,TikTok,5.5,%
2023,MBB,Platform_share,Web browsing,App Others,43.9,%
2024,MBB,Platform_share,Web browsing,App Others,19.2,%
2023,MBB,Platform_share,Web browsing,Via browser,44.2,%
2024,MBB,Platform_share,Web browsing,Via browser,44.2,%
2023,MBB,Platform_share,Web browsing,Via application,55.8,%
2024,MBB,Platform_share,Web browsing,Via application,55.8,%
2023,FBB,Platform_share,Online gaming,Smartphone,55.0,%
2024,FBB,Platform_share,Online gaming,Smartphone,62.0,%
2023,FBB,Platform_share,Online gaming,PC/Laptop,31.5,%
2024,FBB,Platform_share,Online gaming,PC/Laptop,20.7,%
2023,FBB,Platform_share,Online gaming,Game console,8.1,%
2024,FBB,Platform_share,Online gaming,Game console,7.1,%
2023,FBB,Platform_share,Online gaming,Smart TV,5.4,%
2024,FBB,Platform_share,Online gaming,Smart TV,10.1,%
2023,MBB,Platform_share,Online gaming,Smartphone,90.3,%
2024,MBB,Platform_share,Online gaming,Smartphone,89.7,%
2023,MBB,Platform_share,Online gaming,PC/Laptop,6.5,%
2024,MBB,Platform_share,Online gaming,PC/Laptop,7.8,%
2023,MBB,Platform_share,Online gaming,Smart TV,1.6,%
2024,MBB,Platform_share,Online gaming,Smart TV,0.5,%
2023,MBB,Platform_share,Online gaming,Game console,1.6,%
2024,MBB,Platform_share,Online gaming,Game console,2.0,%
2023,FBB,Platform_share,Online voice calls,WhatsApp,82.4,%
2024,FBB,Platform_share,Online voice calls,WhatsApp,96.0,%
2023,FBB,Platform_share,Online voice calls,FaceTime,5.2,%
2023,FBB,Platform_share,Online voice calls,Others,12.4,%
2024,FBB,Platform_share,Online voice calls,WeChat,2.2,%
2024,FBB,Platform_share,Online voice calls,Facebook Messenger,1.2,%
2024,FBB,Platform_share,Online voice calls,Others,0.7,%
2023,MBB,Platform_share,Online voice calls,WhatsApp,92.1,%
2024,MBB,Platform_share,Online voice calls,WhatsApp,95.6,%
2023,MBB,Platform_share,Online voice calls,FaceTime,3.3,%
2023,MBB,Platform_share,Online voice calls,Others,4.6,%
2024,MBB,Platform_share,Online voice calls,Telegram,1.4,%
2024,MBB,Platform_share,Online voice calls,WeChat,1.3,%
2024,MBB,Platform_share,Online voice calls,Others,1.8,%
2023,FBB,Platform_share,Online video calls,WhatsApp,65.8,%
2024,FBB,Platform_share,Online video calls,WhatsApp,78.8,%
2023,FBB,Platform_share,Online video calls,Teams,10.3,%
2024,FBB,Platform_share,Online video calls,Teams,4.7,%
2023,FBB,Platform_share,Online video calls,FaceTime,7.8,%
2024,FBB,Platform_share,Online video calls,FaceTime,5.3,%
2023,FBB,Platform_share,Online video calls,Zoom,5.9,%
2024,FBB,Platform_share,Online video calls,Zoom,4.7,%
2023,FBB,Platform_share,Online video calls,Discord,1.7,%
2024,FBB,Platform_share,Online video calls,WeChat,2.3,%
2023,FBB,Platform_share,Online video calls,Others,8.4,%
2024,FBB,Platform_share,Online video calls,Others,4.2,%
2023,MBB,Platform_share,Online video calls,WhatsApp,82.0,%
2024,MBB,Platform_share,Online video calls,WhatsApp,89.5,%
2023,MBB,Platform_share,Online video calls,FaceTime,6.4,%
2024,MBB,Platform_share,Online video calls,FaceTime,3.2,%
2023,MBB,Platform_share,Online video calls,Zoom,2.9,%
2024,MBB,Platform_share,Online video calls,Zoom,1.3,%
2023,MBB,Platform_share,Online video calls,Teams,1.7,%
2023,MBB,Platform_share,Online video calls,Messenger,1.5,%
2024,MBB,Platform_share,Online video calls,Messenger,1.4,%
2023,MBB,Platform_share,Online video calls,Others,5.5,%
2024,MBB,Platform_share,Online video calls,Others,4.5,%
2023,FBB,Participation,Online gaming,,41.7,%
2024,FBB,Participation,Online gaming,,52.3,%
2023,MBB,Participation,Online gaming,,44.8,%
2024,MBB,Participation,Online gaming,,48.6,%
2023,FBB,Participation,Online voice calls,,76.3,%
2024,FBB,Participation,Online voice calls,,96.8,%
2023,MBB,Participation,Online voice calls,,87.5,%
2024,MBB,Participation,Online voice calls,,89.3,%
2023,FBB,Participation,Online video calls,,87.7,%
2024,FBB,Participation,Online video calls,,98.4,%
2023,MBB,Participation,Online video calls,,91.3,%
2024,MBB,Participation,Online video calls,,88.7,%
2023,FBB,Participation,Video streaming,,95.0,%
2024,FBB,Participation,Video streaming,,95.7,%
2023,MBB,Participation,Video streaming,,93.9,%
2024,MBB,Participation,Video streaming,,83.5,%
2023,FBB,Dissatisfaction_rate,Video streaming,,9.8,%
2024,FBB,Dissatisfaction_rate,Video streaming,,3.2,%
2023,MBB,Dissatisfaction_rate,Video streaming,,13.9,%
2024,MBB,Dissatisfaction_rate,Video streaming,,4.5,%
2023,FBB,Dissatisfaction_rate,Web browsing,,6.0,%
2024,FBB,Dissatisfaction_rate,Web browsing,,0.9,%
2023,MBB,Dissatisfaction_rate,Web browsing,,9.9,%
2024,MBB,Dissatisfaction_rate,Web browsing,,0.9,%
2023,FBB,Dissatisfaction_rate,Online gaming,,14.8,%
2024,FBB,Dissatisfaction_rate,Online gaming,,3.5,%
2023,MBB,Dissatisfaction_rate,Online gaming,,16.4,%
2024,MBB,Dissatisfaction_rate,Online gaming,,3.5,%
2023,FBB,Dissatisfaction_rate,Online voice calls,,10.1,%
2024,FBB,Dissatisfaction_rate,Online voice calls,,1.1,%
2023,MBB,Dissatisfaction_rate,Online voice calls,,14.4,%
2024,MBB,Dissatisfaction_rate,Online voice calls,,2.2,%
2023,FBB,Dissatisfaction_rate,Online video calls,,10.7,%
2024,FBB,Dissatisfaction_rate,Online video calls,,1.2,%
2023,MBB,Dissatisfaction_rate,Online video calls,,14.9,%
2024,MBB,Dissatisfaction_rate,Online video calls,,2.6,%
2023,FBB,Dissatisfaction_reason,Video streaming,Video stalls and buffers,58.9,%
2023,FBB,Dissatisfaction_reason,Video streaming,Video slow to load/start,19.6,%
2023,FBB,Dissatisfaction_reason,Video streaming,Low video quality,10.3,%
2023,FBB,Dissatisfaction_reason,Video streaming,Video playback fails,3.7,%
2023,FBB,Dissatisfaction_reason,Video streaming,Others,7.5,%
2024,FBB,Dissatisfaction_reason,Video streaming,Video stalls and buffers,38.9,%
2024,FBB,Dissatisfaction_reason,Video streaming,Video slow to load/start,30.6,%
2024,FBB,Dissatisfaction_reason,Video streaming,Low video quality,13.9,%
