Data Source,World Bank
Last Updated Date,2025-01-01
Indicator Name,Mobile cellular subscriptions
Country Name,Country Code,1960,1965,1970,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Malaysia,MYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10817,17411,27302,39419,86620,130000,200573,340022,571720,1005066,1520320,2000000,2200000,2990000,5121748,7385000,9053000,11124000,14611000,19545000,19463722,23347000,27713000,30144000,33858700,36661300,41324700,43005000,44928600,44104000,43464500,42338500,42413400,44600700,43723600,47201700,47952100,50136500,49661500
