year,broadband_type,category,scope,label,value,unit
2024,FBB,Participation,Video streaming,,95.7,%
2024,MBB,Participation,Video streaming,,83.5,%
2024,FBB,Dissatisfaction_rate,Video streaming,,3.2,%
2024,MBB,Dissatisfaction_rate,Video streaming,,4.5,%
2024,FBB,Dissatisfaction_rate,Web browsing,,0.9,%
2024,MBB,Dissatisfaction_rate,Web browsing,,0.9,%
2024,FBB,Dissatisfaction_rate,Online gaming,,3.5,%
2024,MBB,Dissatisfaction_rate,Online gaming,,3.5,%
2024,FBB,Dissatisfaction_rate,Online voice calls,,1.1,%
2024,MBB,Dissatisfaction_rate,Online voice calls,,2.2,%
2024,FBB,Dissatisfaction_rate,Online video calls,,1.2,%
2024,MBB,Dissatisfaction_rate,Online video calls,,2.6,%
2024,FBB,Dissatisfaction_reason,Video streaming,Video stalls and buffers,38.9,%
2024,FBB,Dissatisfaction_reason,Video streaming,Video slow to load/start,30.6,%
2024,FBB,Dissatisfaction_reason,Video streaming,Low video quality,13.9,%
2024,FBB,Dissatisfaction_reason,Video streaming,Video playback fails,13.9,%
2024,FBB,Dissatisfaction_reason,Video streaming,Others,2.8,%
2024,MBB,Dissatisfaction_reason,Video streaming,Video stalls and buffers,52.4,%
2024,MBB,Dissatisfaction_reason,Video streaming,Video slow to load/start,22.3,%
2024,FBB,Dissatisfaction_reason,Web browsing,Waiting for page to load,29.2,%
2024,FBB,Dissatisfaction_reason,Web browsing,Slow download,20.8,%
2024,FBB,Dissatisfaction_reason,Web browsing,Page does not display smoothly,16.7,%
2024,FBB,Dissatisfaction_reason,Web browsing,Others,33.3,%
2024,MBB,Dissatisfaction_reason,Web browsing,Waiting for page to load,24.0,%
2024,MBB,Dissatisfaction_reason,Web browsing,Slow download,24.0,%
2024,MBB,Dissatisfaction_reason,Web browsing,Page does not display smoothly,18.7,%
2024,MBB,Dissatisfaction_reason,Web browsing,Others,33.3,%
2024,FBB,Dissatisfaction_reason,Online gaming,Animation stuttering,42.9,%
2024,FBB,Dissatisfaction_reason,Online gaming,Latency and lag,33.3,%
2024,MBB,Dissatisfaction_reason,Online gaming,Animation stuttering,42.9,%
2024,MBB,Dissatisfaction_reason,Online gaming,Latency and lag,33.3,%
2024,FBB,Dissatisfaction_reason,Online voice calls,Choppy/Broken voice,55.2,%
2024,FBB,Dissatisfaction_reason,Online voice calls,Dropped calls,24.1,%
2024,FBB,Dissatisfaction_reason,Online voice calls,Could not hear,17.2,%
2024,FBB,Dissatisfaction_reason,Online voice calls,Others,3.4,%
2024,MBB,Dissatisfaction_reason,Online voice calls,Choppy/Broken voice,49.0,%
2024,MBB,Dissatisfaction_reason,Online voice calls,Dropped calls,24.0,%
2024,MBB,Dissatisfaction_reason,Online voice calls,Could not hear,16.0,%
2024,FBB,Dissatisfaction_reason,Online video calls,Video froze/disconnected,28.1,%
2024,FBB,Dissatisfaction_reason,Online video calls,Choppy/broken voice,28.1,%
2024,FBB,Dissatisfaction_reason,Online video calls,Low video quality,28.1,%
2024,MBB,Dissatisfaction_reason,Online video calls,Video froze/disconnected,38.9,%
2024,MBB,Dissatisfaction_reason,Online video calls,Choppy/broken voice,23.0,%
2024,MBB,Dissatisfaction_reason,Online video calls,Low picture quality,15.9,%
2024,MBB,Dissatisfaction_reason,Online video calls,Difficulties connecting,8.0,%
2024,FBB,Demo,Gender,Male,72.9,%
2024,FBB,Demo,Gender,Female,27.1,%
2024,FBB,Demo,Location,Urban,85.0,%
2024,FBB,Demo,Location,Rural,15.0,%
2024,FBB,Demo,Age group,Under 20,0.3,%
2024,FBB,Demo,Age group,20s,19.2,%
2024,FBB,Demo,Age group,30s,40.6,%
2024,FBB,Demo,Age group,40s,24.9,%
2024,FBB,Demo,Age group,50s,10.8,%
2024,FBB,Demo,Age group,60+,4.3,%
2024,FBB,Demo,Employment,Employed,65.6,%
2024,FBB,Demo,Employment,Self-employed,20.1,%
2024,FBB,Demo,Employment,Unemployed,6.9,%
2024,FBB,Demo,Employment,Pensioner,3.7,%
2024,FBB,Demo,Employment,Full-time student,2.4,%
2024,FBB,Demo,Income,"Below RM4,850",36.6,%
2024,FBB,Demo,Income,"RM4,850-RM10,959",38.2,%
2024,FBB,Demo,Income,"Above RM10,959",25.2,%
2024,FBB,Demo,Ethnicity,Malay,55.5,%
2024,FBB,Demo,Ethnicity,Chinese,32.6,%
2024,FBB,Demo,Ethnicity,Indian,7.1,%
2024,FBB,Demo,Ethnicity,Bumiputra Sabah/Sarawak,3.0,%
