year,female,male
2013,55.3657,58.6364
2014,61.8034,65.4068
2015,69.0241,72.9667
2016,76.6869,80.0322
2017,78.2387,81.9161
2018,78.7261,83.5169
2019,82.369,85.8538
2020,87.7006,91.2531
2021,96.32,97.1502
2022,95.85,98.829
2023,97.1838,98.153
2024,97.6373,98.3628
